film,year,award,winner,name,age,
Notes on a Scandal,2007,Best Supporting Actress,nominee,Cate Blanchett,37,35-45
Babel,2007,Best Supporting Actress,nominee,Rinko Kikuchi,26,25-35
Little Miss Sunshine,2007,Best Supporting Actress,nominee,Abigail Breslin,10,< 25
There Will Be Blood,2008,Best Actor,winner,Daniel Day-Lewis,50,45-55
In the Valley of Elah,2008,Best Actor,nominee,Tommy Lee Jones,61,55-65
Eastern Promises,2008,Best Actor,nominee,Viggo Mortensen,49,45-55
Michael Clayton,2008,Best Actor,nominee,George Clooney,46,45-55
Sweeney Todd: The Demon Barber of Fleet Street,2008,Best Actor,nominee,Johnny Depp,44,35-45
La Vie en Rose,2008,Best Actress,winner,Marion Cotillard,32,25-35
Away from Her,2008,Best Actress,nominee,Julie Christie,66,> 65
The Savages,2008,Best Actress,nominee,Laura Linney,44,35-45
Elizabeth: The Golden Age,2008,Best Actress,nominee,Cate Blanchett,38,35-45
Juno,2008,Best Actress,nominee,Ellen Page,21,< 25
No Country for Old Men,2008,Best Supporting Actor,winner,Javier Bardem,39,35-45
Into the Wild,2008,Best Supporting Actor,nominee,Hal Holbrook,83,> 65
Michael Clayton,2008,Best Supporting Actor,nominee,Tom Wilkinson,60,55-65
Charlie Wilson's War,2008,Best Supporting Actor,nominee,Philip Seymour Hoffman,40,35-45
The Assassination of Jesse James by the Coward Robert Ford,2008,Best Supporting Actor,nominee,Casey Affleck,32,25-35
Michael Clayton,2008,Best Supporting Actress,winner,Tilda Swinton,47,45-55
American Gangster,2008,Best Supporting Actress,nominee,Ruby Dee,85,> 65
I'm Not There,2008,Best Supporting Actress,nominee,Cate Blanchett,38,35-45
Gone Baby Gone,2008,Best Supporting Actress,nominee,Amy Ryan,38,35-45
Atonement,2008,Best Supporting Actress,nominee,Saoirse Ronan,13,< 25
Crazy Heart,2010,Best Actor,winner,Jeff Bridges,59,55-65
Milk,2009,Best Actor,winner,Sean Penn,48,45-55
Frost/Nixon,2009,Best Actor,nominee,Frank Langella,71,> 65
The Visitor,2009,Best Actor,nominee,Richard Jenkins,61,55-65
The Wrestler,2009,Best Actor,nominee,Mickey Rourke,56,55-65
The Curious Case of Benjamin Button,2009,Best Actor,nominee,Brad Pitt,45,45-55
The Reader,2009,Best Actress,winner,Kate Winslet,33,25-35
Doubt,2009,Best Actress,nominee,Meryl Streep,59,55-65
Frozen River,2009,Best Actress,nominee,Melissa Leo,48,45-55
Changeling,2009,Best Actress,nominee,Angelina Jolie,33,25-35
Rachel Getting Married,2009,Best Actress,nominee,Anne Hathaway,26,25-35
The Dark Knight,2009,Best Supporting Actor,winner,Heath Ledger,29,25-35
Tropic Thunder,2009,Best Supporting Actor,nominee,"Robert Downey, Jr.",43,35-45
Doubt,2009,Best Supporting Actor,nominee,Philip Seymour Hoffman,41,35-45
Milk,2009,Best Supporting Actor,nominee,Josh Brolin,41,35-45
Revolutionary Road,2009,Best Supporting Actor,nominee,Michael Shannon,34,25-35
Vicky Cristina Barcelona,2009,Best Supporting Actress,winner,Pen_lope Cruz,34,25-35
The Wrestler,2009,Best Supporting Actress,nominee,Marisa Tomei,44,35-45
Doubt,2009,Best Supporting Actress,nominee,Viola Davis,43,35-45
The Curious Case of Benjamin Button,2009,Best Supporting Actress,nominee,Taraji P. Henson,38,35-45
Doubt,2009,Best Supporting Actress,nominee,Amy Adams,34,25-35
Invictus,2010,Best Actor,nominee,Morgan Freeman,72,> 65
A Single Man,2010,Best Actor,nominee,Colin Firth,49,45-55
Up in the Air,2010,Best Actor,nominee,George Clooney,48,45-55
The Hurt Locker,2010,Best Actor,nominee,Jeremy Renner,39,35-45
The Blind Side,2010,Best Actress,winner,Sandra Bullock,45,45-55
The Last Station,2010,Best Actress,nominee,Helen Mirren,64,55-65
Julie & Julia,2010,Best Actress,nominee,Meryl Streep,60,55-65
Precious,2010,Best Actress,nominee,Gabourey Sidibe,26,25-35
An Education,2010,Best Actress,nominee,Carey Mulligan,24,< 25
Inglourious Basterds,2010,Best Supporting Actor,winner,Christoph Waltz,53,45-55
The Last Station,2010,Best Supporting Actor,nominee,Christopher Plummer,80,> 65
The Lovely Bones,2010,Best Supporting Actor,nominee,Stanley Tucci,49,45-55
The Messenger,2010,Best Supporting Actor,nominee,Woody Harrelson,48,45-55
Invictus,2010,Best Supporting Actor,nominee,Matt Damon,39,35-45
Precious,2010,Best Supporting Actress,winner,Mo'Nique,42,35-45
Up in the Air,2010,Best Supporting Actress,nominee,Vera Farmiga,36,35-45
Nine,2010,Best Supporting Actress,nominee,Pen_lope Cruz,35,35-45
Crazy Heart,2010,Best Supporting Actress,nominee,Maggie Gyllenhaal,32,25-35
Up in the Air,2010,Best Supporting Actress,nominee,Anna Kendrick,24,< 25
The King's Speech,2011,Best Actor,winner,Colin Firth,50,45-55
True Grit,2011,Best Actor,nominee,Jeff Bridges,61,55-65
Biutiful,2011,Best Actor,nominee,Javier Bardem,42,35-45
Aron Ralston,2011,Best Actor,nominee,James Franco,32,25-35
The Social Network,2011,Best Actor,nominee,Jesse Eisenberg,27,25-35
Black Swan,2011,Best Actress,winner,Natalie Portman,29,25-35
The Kids Are All Right,2011,Best Actress,nominee,Annette Bening,52,45-55
Rabbit Hole,2011,Best Actress,nominee,Nicole Kidman,43,35-45
Blue Valentine,2011,Best Actress,nominee,Michelle Williams,30,25-35
Winter's Bone,2011,Best Actress,nominee,Jennifer Lawrence,20,< 25
The Fighter,2011,Best Supporting Actor,winner,Christian Bale,37,35-45
The King's Speech,2011,Best Supporting Actor,nominee,Geoffrey Rush,59,55-65
Winter's Bone,2011,Best Supporting Actor,nominee,John Hawkes,51,45-55
The Kids Are All Right,2011,Best Supporting Actor,nominee,Mark Ruffalo,43,35-45
The Town,2011,Best Supporting Actor,nominee,Jeremy Renner,40,35-45
The Fighter,2011,Best Supporting Actress,winner,Melissa Leo,50,45-55
Animal Kingdom,2011,Best Supporting Actress,nominee,Jacki Weaver,63,55-65
The King's Speech,2011,Best Supporting Actress,nominee,Helena Bonham Carter,44,35-45
The Fighter,2011,Best Supporting Actress,nominee,Amy Adams,36,35-45
True Grit,2011,Best Supporting Actress,nominee,Hailee Steinfeld,14,< 25
The Artist,2012,Best Actor,winner,Jean Dujardin,39,35-45
Tinker Tailor Soldier Spy,2012,Best Actor,nominee,Gary Oldman,53,45-55
The Descendants,2012,Best Actor,nominee,George Clooney,50,45-55
A Better Life,2012,Best Actor,nominee,Demin Bichir,48,45-55
Moneyball,2012,Best Actor,nominee,Brad Pitt,48,45-55
The Iron Lady,2012,Best Actress,winner,Meryl Streep,62,55-65
Albert Nobbs,2012,Best Actress,nominee,Glenn Close,64,55-65
The Help,2012,Best Actress,nominee,Viola Davis,46,45-55
My Week with Marilyn,2012,Best Actress,nominee,Michelle Williams,31,25-35
The Girl with the Dragon Tattoo,2012,Best Actress,nominee,Rooney Mara,26,25-35
Beginners,2012,Best Supporting Actor,winner,Christopher Plummer,82,> 65
Extremely Loud and Incredibly Close,2012,Best Supporting Actor,nominee,Max von Sydow,82,> 65
Warrior,2012,Best Supporting Actor,nominee,Nick Nolte,71,> 65
My Week with Marilyn,2012,Best Supporting Actor,nominee,Kenneth Branagh,51,45-55
Moneyball,2012,Best Supporting Actor,nominee,Jonah Hill,28,25-35
The Help,2012,Best Supporting Actress,winner,Octavia Spencer,41,35-45
Albert Nobbs,2012,Best Supporting Actress,nominee,Janet McTeer,50,45-55
Bridesmaids,2012,Best Supporting Actress,nominee,Melissa McCarthy,41,35-45
The Artist,2012,Best Supporting Actress,nominee,Berenice Bejo,35,35-45
The Help,2012,Best Supporting Actress,nominee,Jessica Chastain,34,25-35
Flight,2013,Best Actor,nominee,Denzel Washington,58,55-65
Lincoln,2013,Best Actor,winner,Daniel Day-Lewis,55,55-65
Les Mis_rables,2013,Best Actor,nominee,Hugh Jackman,44,35-45
The Master,2013,Best Actor,nominee,Joaquin Phoenix,38,35-45
Silver Linings Playbook,2013,Best Actor,nominee,Bradley Cooper,38,35-45
Amour,2013,Best Actress,nominee,Emmanuelle Riva,86,> 65
The Impossible,2013,Best Actress,nominee,Naomi Watts,44,35-45
Zero Dark Thirty,2013,Best Actress,nominee,Jessica Chastain,35,35-45
Silver Linings Playbook,2013,Best Actress,winner,Jennifer Lawrence,22,< 25
Beasts of the Southern Wild,2013,Best Actress,nominee,Quvenzhane Wallis,9,< 25
Argo,2013,Best Supporting Actor,nominee,Alan Arkin,78,> 65
Silver Linings Playbook,2013,Best Supporting Actor,nominee,Robert De Niro,69,> 65
Lincoln,2013,Best Supporting Actor,nominee,Tommy Lee Jones,66,> 65
Django Unchained,2013,Best Supporting Actor,winner,Christoph Waltz,56,55-65
The Master,2013,Best Supporting Actor,nominee,Philip Seymour Hoffman,45,45-55
Lincoln,2013,Best Supporting Actress,nominee,Sally Field,66,> 65
Silver Linings Playbook,2013,Best Supporting Actress,nominee,Jacki Weaver,65,55-65
The Sessions,2013,Best Supporting Actress,nominee,Helen Hunt,49,45-55
The Master,2013,Best Supporting Actress,nominee,Amy Adams,38,35-45
Les Miserables,2013,Best Supporting Actress,winner,Anne Hathaway,30,25-35
American Hustle,2014,Best Actor,nominee,Christian Bale,40,35-45
12 Years a Slave,2014,Best Actor,nominee,Chiwetel Ejiofor,36,35-45
Nebraska,2014,Best Actor,nominee,Bruce Dern,77,> 65
The Wolf of Wall Street,2014,Best Actor,nominee,Leonardo DiCaprio,39,35-45
Dallas Buyers Club,2014,Best Actor,winner,Matthew McConaughey,44,35-45
American Hustle,2014,Best Actress,nominee,Amy Adams,39,35-45
Blue Jasmine,2014,Best Actress,winner,Cate Blanchett,44,35-45
Gravity,2014,Best Actress,nominee,Sandra Bullock,49,45-55
Philomena,2014,Best Actress,nominee,Judi Dench,79,> 65
August: Osage County,2014,Best Actress,nominee,Meryl Streep,64,55-65
Captain Phillips,2014,Best Supporting Actor,nominee,Barkhad Abdi,28,25-35
American Hustle,2014,Best Supporting Actor,nominee,Bradley Cooper,39,35-45
12 Years a Slave,2014,Best Supporting Actor,nominee,Michael Fassbender,36,35-45
The Wolf of Wall Street,2014,Best Supporting Actor,nominee,Jonah Hill,30,25-35
Dallas Buyers Club,2014,Best Supporting Actor,winner,Jared Leto,42,35-45
Blue Jasmine,2014,Best Supporting Actress,nominee,Sally Hawkins,37,35-45
American Hustle,2014,Best Supporting Actress,nominee,Jennifer Lawrence,23,< 25
12 Years a Slave,2014,Best Supporting Actress,winner,Lupita Nyong'o,30,25-35
August: Osage County,2014,Best Supporting Actress,nominee,Julia Roberts,46,45-55
Nebraska,2014,Best Supporting Actress,nominee,June Squibb,84,> 65
